"Step","0_sazut-tonat-dokabtofok - episodic_return","0_sazut-tonat-dokabtofok - episodic_return__MIN","0_sazut-tonat-dokabtofok - episodic_return__MAX"
"604975","40","40","40"
"605208","18","18","18"
"606748","5","5","5"
"606909","40","40","40"
"607916","28","28","28"
"609663","41","41","41"
"609787","0","0","0"
"609826","40","40","40"
"610771","40","40","40"
"611045","40","40","40"
"611616","22","22","22"
"611897","19","19","19"
"612173","18","18","18"
"612358","19","19","19"
"612839","40","40","40"
"614685","40","40","40"
"615265","40","40","40"
"615705","40","40","40"
"616742","6","6","6"
"616780","40","40","40"
"617120","0","0","0"
"617170","40","40","40"
"617544","40","40","40"
"617799","40","40","40"
"617986","40","40","40"
"619697","13","13","13"
"620003","40","40","40"
"620651","15","15","15"
"621882","8","8","8"
"622075","6","6","6"
"622654","10","10","10"
"623149","40","40","40"
"623262","40","40","40"
"623307","40","40","40"
"623728","40","40","40"
"623951","40","40","40"
"625747","1","1","1"
"626167","40","40","40"
"626385","19","19","19"
"626525","3","3","3"
"627123","40","40","40"
"627182","40","40","40"
"628146","40","40","40"
"628251","40","40","40"
"628288","40","40","40"
"629017","8","8","8"
"630008","6","6","6"
"630404","40","40","40"
"630935","40","40","40"
"631168","1","1","1"
"631599","25","25","25"
"631658","40","40","40"
"632308","40","40","40"
"633172","40","40","40"
"633557","40","40","40"
"633857","40","40","40"
"634638","40","40","40"
"636195","6","6","6"
"636470","40","40","40"
"636566","40","40","40"
"636617","40","40","40"
"637648","40","40","40"
"639704","40","40","40"
"640100","40","40","40"
"640437","40","40","40"
"640498","4","4","4"
"640700","40","40","40"
"640799","40","40","40"
"641961","40","40","40"
"642177","2","2","2"
"642378","40","40","40"
"643120","3","3","3"
"643461","40","40","40"
"643609","3","3","3"
"644072","40","40","40"
"644133","40","40","40"
"644412","0","0","0"
"645346","40","40","40"
"647167","40","40","40"
"647229","40","40","40"
"647278","11","11","11"
"647448","4","4","4"
"647856","2","2","2"
"648003","40","40","40"
"648248","10","10","10"
"649721","40","40","40"
"653164","40","40","40"
"653190","40","40","40"
"655073","40","40","40"
"656284","41","41","41"
"657257","5","5","5"
"657374","40","40","40"
"658194","40","40","40"
"658619","40","40","40"
"659895","40","40","40"
"662439","40","40","40"
"664327","40","40","40"
"665018","40","40","40"
"665026","40","40","40"
"665120","40","40","40"
"665165","40","40","40"
"665510","40","40","40"
"665800","40","40","40"
"665908","40","40","40"
"666084","7","7","7"
"666124","40","40","40"
"666430","40","40","40"
"667339","40","40","40"
"667505","40","40","40"
"668957","40","40","40"
"670189","40","40","40"
"670993","40","40","40"
"671488","40","40","40"
"671759","40","40","40"
"672224","1","1","1"
"674638","40","40","40"
"675829","20","20","20"
"676203","40","40","40"
"676437","40","40","40"
"676770","40","40","40"
"676823","40","40","40"
"676868","40","40","40"
"677275","40","40","40"
"677555","40","40","40"
"677584","40","40","40"
"677849","40","40","40"
"677930","40","40","40"
"678157","0","0","0"
"679151","40","40","40"
"679514","40","40","40"
"679676","40","40","40"
"679699","40","40","40"
"680163","40","40","40"
"680969","40","40","40"
"683346","14","14","14"
"683395","40","40","40"
"683476","40","40","40"
"683862","25","25","25"
"684344","40","40","40"
"684470","40","40","40"
"684607","40","40","40"
"684848","41","41","41"
"684957","5","5","5"
"685117","40","40","40"
"685983","40","40","40"
"686578","40","40","40"
"686849","40","40","40"
"686918","40","40","40"
"687320","0","0","0"
"687365","40","40","40"
"687626","40","40","40"
"687764","1","1","1"
"690217","40","40","40"
"690862","40","40","40"
"691123","4","4","4"
"691468","16","16","16"
"692252","40","40","40"
"692441","4","4","4"
"694376","40","40","40"
"694937","1","1","1"
"695084","40","40","40"
"697316","40","40","40"
"698984","3","3","3"
"700744","40","40","40"
"701796","1","1","1"
"702338","10","10","10"
"703161","40","40","40"
"703615","8","8","8"
"703616","40","40","40"
"704113","16","16","16"
"704975","40","40","40"
