"Step","14_sazut-tonat-munobhasaz - episodic_return","14_sazut-tonat-munobhasaz - episodic_return__MIN","14_sazut-tonat-munobhasaz - episodic_return__MAX"
"286404","10","10","10"
"286881","4","4","4"
"287579","6","6","6"
"288222","8","8","8"
"288341","7","7","7"
"288775","7","7","7"
"289325","6","6","6"
"289541","3","3","3"
"289875","6","6","6"
"289977","4","4","4"
"290031","1","1","1"
"290467","5","5","5"
"290576","5","5","5"
"290765","5","5","5"
"290819","3","3","3"
"292312","10","10","10"
"292860","2","2","2"
"293026","2","2","2"
"293238","3","3","3"
"293740","4","4","4"
"294601","9","9","9"
"294836","2","2","2"
"294973","2","2","2"
"295735","7","7","7"
"296143","8","8","8"
"296561","2","2","2"
"296702","4","4","4"
"296916","4","4","4"
"297482","12","12","12"
"298084","0","0","0"
"298416","2","2","2"
"298652","10","10","10"
"298845","7","7","7"
"299330","6","6","6"
"300039","2","2","2"
"300201","4","4","4"
"300402","10","10","10"
"300519","14","14","14"
"300890","6","6","6"
"301209","2","2","2"
"301690","11","11","11"
"301968","0","0","0"
"303137","3","3","3"
"303210","4","4","4"
"303470","10","10","10"
"303680","15","15","15"
"304388","4","4","4"
"304838","5","5","5"
"305179","2","2","2"
"305379","3","3","3"
"306939","7","7","7"
"307443","9","9","9"
"307606","4","4","4"
"307665","7","7","7"
"307735","5","5","5"
"308005","10","10","10"
"308051","5","5","5"
"308437","3","3","3"
"309198","6","6","6"
"309325","3","3","3"
"309635","4","4","4"
"310077","0","0","0"
"310088","12","12","12"
"310290","3","3","3"
"311335","2","2","2"
"311477","7","7","7"
"311873","9","9","9"
"313369","2","2","2"
"313528","7","7","7"
"313638","4","4","4"
"313768","7","7","7"
"313935","2","2","2"
"314080","11","11","11"
"314294","12","12","12"
"314402","4","4","4"
"314980","3","3","3"
"315141","5","5","5"
"315230","3","3","3"
"315966","4","4","4"
"315977","7","7","7"
"316146","1","1","1"
"316223","5","5","5"
"316796","2","2","2"
"316816","3","3","3"
"318559","9","9","9"
"318978","0","0","0"
"320041","3","3","3"
"320198","2","2","2"
"320494","4","4","4"
"320624","2","2","2"
"321018","4","4","4"
"321418","4","4","4"
"321647","9","9","9"
"321721","7","7","7"
"321874","1","1","1"
"322176","4","4","4"
"322899","4","4","4"
"324118","4","4","4"
"324244","5","5","5"
"324497","4","4","4"
"324823","2","2","2"
"325148","7","7","7"
"325341","4","4","4"
"325745","9","9","9"
"325950","0","0","0"
"326177","3","3","3"
"326692","0","0","0"
"327165","6","6","6"
"327587","2","2","2"
"327917","5","5","5"
"328327","9","9","9"
"328520","4","4","4"
"328794","5","5","5"
"328997","4","4","4"
"329780","8","8","8"
"329813","5","5","5"
"330338","0","0","0"
"331289","1","1","1"
"331547","8","8","8"
"332775","1","1","1"
"333472","4","4","4"
"333736","6","6","6"
"334477","5","5","5"
"335051","7","7","7"
"335355","8","8","8"
"335546","2","2","2"
"335598","2","2","2"
"335979","4","4","4"
"337132","8","8","8"
"337168","5","5","5"
"337596","6","6","6"
"338230","5","5","5"
"338564","8","8","8"
"339135","2","2","2"
"339189","8","8","8"
"339351","2","2","2"
"339750","9","9","9"
"340174","8","8","8"
"340225","9","9","9"
"340354","3","3","3"
"340594","2","2","2"
"340767","4","4","4"
"340947","0","0","0"
"342000","5","5","5"
"342506","6","6","6"
"342969","1","1","1"
"343626","4","4","4"
"343811","9","9","9"
"343881","9","9","9"
"344055","11","11","11"
"344341","2","2","2"
"344687","3","3","3"
"345050","4","4","4"
"345216","1","1","1"
"346383","3","3","3"
"346449","3","3","3"
"346526","3","3","3"
"346733","1","1","1"
"346813","3","3","3"
"347192","8","8","8"
