"Step","11_sazut-tonat-nigonribop - episodic_return","11_sazut-tonat-nigonribop - episodic_return__MIN","11_sazut-tonat-nigonribop - episodic_return__MAX"
"602389","10","10","10"
"603791","10","10","10"
"603922","10","10","10"
"604111","10","10","10"
"604548","10","10","10"
"604682","10","10","10"
"604873","10","10","10"
"605085","10","10","10"
"605477","10","10","10"
"605514","10","10","10"
"606299","10","10","10"
"606535","10","10","10"
"608273","10","10","10"
"608960","10","10","10"
"609801","10","10","10"
"610154","10","10","10"
"610502","10","10","10"
"611532","0","0","0"
"611584","10","10","10"
"611735","10","10","10"
"611982","10","10","10"
"612055","10","10","10"
"612565","10","10","10"
"613046","10","10","10"
"613187","10","10","10"
"613313","10","10","10"
"614055","10","10","10"
"614362","10","10","10"
"614573","10","10","10"
"614774","10","10","10"
"614924","10","10","10"
"615169","10","10","10"
"615428","10","10","10"
"615753","10","10","10"
"615838","10","10","10"
"616132","10","10","10"
"616204","10","10","10"
"616324","10","10","10"
