"Step","12_sazut-tonat-zanohripok - episodic_return","12_sazut-tonat-zanohripok - episodic_return__MIN","12_sazut-tonat-zanohripok - episodic_return__MAX"
"356826","13","13","13"
"357803","13","13","13"
"358438","3","3","3"
"358483","2","2","2"
"358591","13","13","13"
"358682","13","13","13"
"359723","13","13","13"
"359970","13","13","13"
"361233","13","13","13"
"361350","2","2","2"
"361486","2","2","2"
"361569","13","13","13"
"363162","13","13","13"
"363252","13","13","13"
"363312","13","13","13"
"363647","2","2","2"
"363846","13","13","13"
"364316","13","13","13"
"364536","13","13","13"
"365254","13","13","13"
"366364","13","13","13"
"366860","2","2","2"
"367682","1","1","1"
"368289","2","2","2"
"368668","13","13","13"
"369151","13","13","13"
"369402","13","13","13"
"369484","13","13","13"
"369541","3","3","3"
"369633","13","13","13"
"371425","13","13","13"
"371521","13","13","13"
"371759","13","13","13"
"371808","13","13","13"
"371909","13","13","13"
"372858","13","13","13"
"372876","13","13","13"
"372933","13","13","13"
"373124","13","13","13"
"373718","3","3","3"
"374661","13","13","13"
"375147","13","13","13"
"375170","13","13","13"
"375428","13","13","13"
"375828","2","2","2"
"375937","13","13","13"
"377270","3","3","3"
"378080","13","13","13"
"378201","13","13","13"
"378421","13","13","13"
"378478","13","13","13"
"378772","3","3","3"
"379332","13","13","13"
"379798","13","13","13"
"380258","3","3","3"
"381273","13","13","13"
"381700","13","13","13"
"381858","13","13","13"
"382934","13","13","13"
"383109","13","13","13"
"383402","13","13","13"
"383579","13","13","13"
"384897","13","13","13"
"384982","13","13","13"
"385294","13","13","13"
"385349","13","13","13"
"387051","0","0","0"
"387547","13","13","13"
"387716","13","13","13"
"388121","13","13","13"
"389637","13","13","13"
"390169","13","13","13"
"390251","13","13","13"
"390508","13","13","13"
"391153","13","13","13"
"391979","13","13","13"
"392259","13","13","13"
"392752","13","13","13"
"393806","13","13","13"
"394467","13","13","13"
"394646","13","13","13"
"395761","13","13","13"
"395854","13","13","13"
"396352","3","3","3"
"396651","3","3","3"
"397334","13","13","13"
"397529","13","13","13"
"397571","13","13","13"
"398320","13","13","13"
"398528","13","13","13"
"399694","13","13","13"
"399897","13","13","13"
"401230","13","13","13"
"401369","13","13","13"
"401580","13","13","13"
"401648","13","13","13"
"402441","3","3","3"
"402609","13","13","13"
"402646","13","13","13"
"402860","13","13","13"
"403677","3","3","3"
"403726","13","13","13"
"404126","13","13","13"
"404183","13","13","13"
"404331","13","13","13"
"405463","13","13","13"
"405718","13","13","13"
"406059","13","13","13"
"406168","13","13","13"
"406395","3","3","3"
"407438","13","13","13"
"407539","13","13","13"
"407742","13","13","13"
"407890","3","3","3"
"408571","13","13","13"
"409323","13","13","13"
"409610","2","2","2"
"409746","13","13","13"
"410505","13","13","13"
"411390","13","13","13"
"411542","13","13","13"
"411594","13","13","13"
"412141","2","2","2"
"412886","13","13","13"
"413453","13","13","13"
"413612","13","13","13"
"413891","3","3","3"
"414175","13","13","13"
"414465","2","2","2"
"414606","13","13","13"
"414889","2","2","2"
"415434","13","13","13"
"416264","2","2","2"
"416579","13","13","13"
"417707","13","13","13"
"417867","13","13","13"
"418499","13","13","13"
"419336","3","3","3"
"419798","13","13","13"
"420265","13","13","13"
"420565","13","13","13"
"421111","13","13","13"
"421142","13","13","13"
"421675","13","13","13"
"421953","13","13","13"
"422483","3","3","3"
"423503","3","3","3"
"423681","13","13","13"
"423893","13","13","13"
"424685","13","13","13"
"424808","2","2","2"
"425155","13","13","13"
"425601","13","13","13"
"426022","13","13","13"
"426155","13","13","13"
"426416","13","13","13"
"427048","13","13","13"
"427477","13","13","13"
"427634","13","13","13"
"427651","13","13","13"
"428138","13","13","13"
"428289","13","13","13"
"428506","13","13","13"
"428751","13","13","13"
"428900","2","2","2"
"429351","13","13","13"
"429697","13","13","13"
"429995","13","13","13"
"430118","13","13","13"
"431166","3","3","3"
"431204","13","13","13"
"431858","13","13","13"
"431883","13","13","13"
"432134","13","13","13"
"432820","13","13","13"
"433151","3","3","3"
"433899","13","13","13"
"434359","13","13","13"
"435292","13","13","13"
"436360","13","13","13"
"436596","13","13","13"
"437048","13","13","13"
"437118","13","13","13"
"438116","13","13","13"
"438984","13","13","13"
"439096","13","13","13"
"439170","3","3","3"
"439244","3","3","3"
"439542","13","13","13"
"439945","2","2","2"
"440255","13","13","13"
"440868","13","13","13"
"441372","13","13","13"
"441697","13","13","13"
"442102","13","13","13"
"442421","3","3","3"
"442623","13","13","13"
"442772","3","3","3"
"442849","13","13","13"
"442916","13","13","13"
"442956","13","13","13"
"443703","13","13","13"
"444404","13","13","13"
"445768","13","13","13"
"445843","13","13","13"
"446716","3","3","3"
"447103","3","3","3"
"447112","13","13","13"
"447271","13","13","13"
"447380","13","13","13"
"448659","13","13","13"
"449057","13","13","13"
"449864","13","13","13"
"450862","3","3","3"
"451138","13","13","13"
"451667","13","13","13"
"452688","3","3","3"
"453247","13","13","13"
"453513","13","13","13"
"453728","13","13","13"
"454372","0","0","0"
"454483","13","13","13"
"455003","2","2","2"
"455712","13","13","13"
"455979","13","13","13"
"456259","13","13","13"
"456864","13","13","13"
"458927","13","13","13"
"459464","13","13","13"
"459843","13","13","13"
"459977","13","13","13"
"460624","13","13","13"
"461668","13","13","13"
"462251","13","13","13"
"462528","3","3","3"
"462727","2","2","2"
"463235","13","13","13"
"463544","13","13","13"
"464000","13","13","13"
"464239","13","13","13"
"465336","13","13","13"
"465643","13","13","13"
"465967","13","13","13"
"466688","13","13","13"
"467088","13","13","13"
"467682","13","13","13"
"467755","13","13","13"
"468341","13","13","13"
"469463","2","2","2"
"469876","13","13","13"
"470032","13","13","13"
"470453","13","13","13"
"470792","13","13","13"
"471604","13","13","13"
"471663","13","13","13"
"472383","13","13","13"
"472571","2","2","2"
"472856","13","13","13"
"473111","13","13","13"
"473746","0","0","0"
"473864","13","13","13"
"474567","13","13","13"
"475672","13","13","13"
"476168","13","13","13"
"477375","13","13","13"
"477612","2","2","2"
"477827","13","13","13"
"477912","13","13","13"
"478075","13","13","13"
"478087","13","13","13"
"478161","13","13","13"
"478259","13","13","13"
"478836","13","13","13"
"478879","1","1","1"
"479167","13","13","13"
"479261","2","2","2"
"479811","13","13","13"
"480428","13","13","13"
"480637","13","13","13"
"480842","1","1","1"
"481145","13","13","13"
"481943","13","13","13"
"482002","13","13","13"
"482653","13","13","13"
"483005","0","0","0"
"483265","13","13","13"
"484765","13","13","13"
"485384","13","13","13"
"485563","13","13","13"
"486059","13","13","13"
"486644","13","13","13"
"486798","13","13","13"
"487668","13","13","13"
"487805","13","13","13"
"488866","13","13","13"
"489339","13","13","13"
"490416","3","3","3"
"490553","13","13","13"
"490909","13","13","13"
"491197","13","13","13"
"491414","2","2","2"
"492005","13","13","13"
"492302","13","13","13"
"492393","13","13","13"
"492624","13","13","13"
"493541","13","13","13"
"494183","13","13","13"
"494670","13","13","13"
"495079","13","13","13"
"495318","13","13","13"
"495640","13","13","13"
"495774","3","3","3"
"496106","13","13","13"
"496520","13","13","13"
"497769","13","13","13"
"497858","13","13","13"
"498266","2","2","2"
"498450","13","13","13"
"498571","13","13","13"
"498645","13","13","13"
"499047","13","13","13"
"499421","13","13","13"
"499989","13","13","13"
"501417","13","13","13"
"501479","13","13","13"
"501525","13","13","13"
"501579","13","13","13"
"501725","13","13","13"
"502926","13","13","13"
"503081","13","13","13"
"503334","2","2","2"
"503549","13","13","13"
"503565","3","3","3"
"503778","13","13","13"
"503930","1","1","1"
"504111","13","13","13"
"504533","1","1","1"
"504716","13","13","13"
"505678","13","13","13"
"505776","13","13","13"
"506025","13","13","13"
"506325","13","13","13"
"506874","13","13","13"
"507213","13","13","13"
"507477","13","13","13"
"507814","13","13","13"
"507854","13","13","13"
"508336","13","13","13"
"508381","13","13","13"
"508730","13","13","13"
"508826","13","13","13"
"508909","13","13","13"
"509212","13","13","13"
"509462","13","13","13"
"509525","13","13","13"
"509839","13","13","13"
"510375","13","13","13"
"510668","13","13","13"
"510765","13","13","13"
"511380","2","2","2"
"511830","13","13","13"
"511874","13","13","13"
"512071","13","13","13"
"513871","13","13","13"
"514284","13","13","13"
"514829","13","13","13"
"515386","13","13","13"
"515860","3","3","3"
"516461","13","13","13"
"516734","2","2","2"
"518082","13","13","13"
"518813","13","13","13"
"518933","13","13","13"
"519003","2","2","2"
"519229","13","13","13"
"519286","13","13","13"
"519444","13","13","13"
"520477","13","13","13"
"520679","13","13","13"
